inst#,actual,predicted,error,prediction
402,1:1,1:1,,0.67
403,1:1,1:1,,0.523
404,1:1,2:0,+,0.725
405,1:1,2:0,+,0.778
406,1:1,1:1,,0.605
407,1:1,1:1,,0.672
408,1:1,1:1,,0.8
409,1:1,1:1,,0.537
410,1:1,1:1,,0.845
411,1:1,1:1,,0.841
412,1:1,2:0,+,0.67
413,1:1,2:0,+,0.687
414,1:1,1:1,,0.542
415,1:1,2:0,+,0.536
416,1:1,2:0,+,0.792
417,1:1,1:1,,0.542
418,1:1,1:1,,0.611
419,1:1,2:0,+,0.689
420,1:1,1:1,,0.528
421,1:1,1:1,,0.543
422,1:1,1:1,,0.782
423,1:1,2:0,+,0.68
424,1:1,2:0,+,0.505
425,1:1,2:0,+,0.728
426,1:1,2:0,+,0.731
427,1:1,1:1,,0.837
428,1:1,2:0,+,0.548
429,1:1,2:0,+,0.879
430,1:1,2:0,+,0.638
431,1:1,2:0,+,0.771
432,1:1,2:0,+,0.539
433,1:1,2:0,+,0.68
434,1:1,2:0,+,0.737
435,1:1,1:1,,0.551
436,1:1,2:0,+,0.74
437,1:1,2:0,+,0.541
438,1:1,2:0,+,0.806
439,1:1,1:1,,0.733
440,1:1,2:0,+,0.533
441,1:1,2:0,+,0.8
442,1:1,2:0,+,0.57
443,1:1,2:0,+,0.801
444,1:1,1:1,,0.598
445,1:1,1:1,,0.506
446,1:1,2:0,+,0.798
447,1:1,2:0,+,0.569
448,1:1,2:0,+,0.772
449,1:1,1:1,,0.562
450,1:1,2:0,+,0.742
451,1:1,1:1,,0.567
452,1:1,2:0,+,0.882
453,1:1,2:0,+,0.664
454,1:1,2:0,+,0.708
455,1:1,2:0,+,0.776
456,1:1,1:1,,0.634
457,1:1,2:0,+,0.746
458,1:1,2:0,+,0.714
459,1:1,1:1,,0.51
460,1:1,2:0,+,0.782
461,1:1,2:0,+,0.539
462,1:1,1:1,,0.726
463,1:1,2:0,+,0.56
464,1:1,2:0,+,0.815
465,1:1,2:0,+,0.569
466,1:1,1:1,,0.802
467,1:1,2:0,+,0.878
468,1:1,1:1,,0.511
469,1:1,2:0,+,0.517
470,1:1,2:0,+,0.531
471,1:1,1:1,,0.797
472,1:1,2:0,+,0.586
473,1:1,2:0,+,0.503
474,1:1,1:1,,0.666
475,1:1,2:0,+,0.797
476,1:1,1:1,,0.838
477,1:1,2:0,+,0.744
478,1:1,2:0,+,0.741
479,1:1,2:0,+,0.753
480,1:1,1:1,,0.599
481,1:1,1:1,,0.839
482,1:1,2:0,+,0.72
483,1:1,2:0,+,0.733
484,1:1,2:0,+,0.852
485,1:1,1:1,,0.606
486,1:1,2:0,+,0.543
487,1:1,2:0,+,0.738
488,1:1,2:0,+,0.713
489,1:1,1:1,,0.534
490,1:1,2:0,+,0.627
491,1:1,2:0,+,0.603
492,1:1,1:1,,0.79
493,1:1,1:1,,0.629
494,1:1,2:0,+,0.693
495,1:1,2:0,+,0.79
496,1:1,2:0,+,0.517
497,1:1,2:0,+,0.806
498,1:1,2:0,+,0.924
499,1:1,2:0,+,0.794
500,1:1,2:0,+,0.845
501,1:1,2:0,+,0.813
502,1:1,1:1,,0.704
503,1:1,1:1,,0.569
504,1:1,2:0,+,0.776
505,1:1,2:0,+,0.502
506,1:1,2:0,+,0.749
507,1:1,2:0,+,0.637
508,1:1,1:1,,0.59
509,1:1,1:1,,0.557
510,1:1,2:0,+,0.974
511,1:1,2:0,+,0.801
512,1:1,2:0,+,0.607
513,1:1,2:0,+,0.948
514,1:1,2:0,+,0.658
515,1:1,2:0,+,0.811
516,1:1,2:0,+,0.69
517,1:1,1:1,,0.623
518,1:1,1:1,,0.733
519,1:1,2:0,+,0.845
520,1:1,2:0,+,0.594
521,1:1,2:0,+,0.788
522,1:1,2:0,+,0.695
523,1:1,2:0,+,0.75
524,1:1,1:1,,0.506
525,1:1,2:0,+,0.656
526,1:1,2:0,+,0.513
527,1:1,1:1,,0.741
528,1:1,1:1,,0.821
529,1:1,1:1,,0.835
530,1:1,2:0,+,0.594
531,1:1,1:1,,0.801
532,1:1,2:0,+,0.753
533,1:1,1:1,,0.763
534,1:1,2:0,+,0.562
535,1:1,2:0,+,0.711
536,1:1,1:1,,0.627
537,1:1,1:1,,0.834
538,1:1,2:0,+,0.753
539,1:1,1:1,,0.767
540,1:1,2:0,+,0.826
541,1:1,2:0,+,0.829
542,1:1,1:1,,0.555
543,1:1,1:1,,0.516
544,1:1,2:0,+,0.515
545,1:1,1:1,,0.776
546,1:1,1:1,,0.745
547,1:1,1:1,,0.558
548,1:1,2:0,+,0.813
549,1:1,1:1,,0.658
550,1:1,2:0,+,0.795
551,1:1,2:0,+,0.654
552,1:1,2:0,+,0.516
553,1:1,1:1,,0.574
554,1:1,2:0,+,0.528
555,1:1,2:0,+,0.706
556,1:1,2:0,+,0.743
557,1:1,2:0,+,0.531
558,1:1,1:1,,0.805
559,1:1,2:0,+,0.793
560,1:1,2:0,+,0.788
561,1:1,2:0,+,0.633
562,1:1,1:1,,0.763
563,1:1,2:0,+,0.812
564,1:1,2:0,+,0.574
565,1:1,1:1,,0.537
566,1:1,1:1,,0.844
567,1:1,2:0,+,0.975
568,1:1,2:0,+,0.735
569,1:1,1:1,,0.626
570,1:1,1:1,,0.586
571,1:1,1:1,,0.6
572,1:1,1:1,,0.653
573,1:1,2:0,+,0.5
574,1:1,1:1,,0.567
575,1:1,2:0,+,0.587
576,1:1,1:1,,0.821
577,1:1,1:1,,0.796
578,1:1,2:0,+,0.669
579,1:1,1:1,,0.642
580,1:1,1:1,,0.788
581,1:1,1:1,,0.824
582,1:1,1:1,,0.697
583,1:1,1:1,,0.83
584,1:1,1:1,,0.67
585,1:1,1:1,,0.687
586,1:1,1:1,,0.687
587,1:1,1:1,,0.841
588,1:1,1:1,,0.839
589,1:1,1:1,,0.834
590,1:1,1:1,,0.84
591,1:1,1:1,,0.843
592,1:1,1:1,,0.842
593,1:1,1:1,,0.69
594,1:1,1:1,,0.804
595,1:1,1:1,,0.72
596,1:1,1:1,,0.844
597,1:1,1:1,,0.843
598,1:1,1:1,,0.838
599,1:1,2:0,+,0.651
600,1:1,2:0,+,0.846
601,1:1,2:0,+,0.873
602,1:1,1:1,,0.544
603,1:1,1:1,,0.844
604,1:1,1:1,,0.667
605,1:1,1:1,,0.621
606,1:1,2:0,+,0.518
607,1:1,1:1,,0.584
608,1:1,2:0,+,0.658
609,1:1,1:1,,0.744
610,1:1,1:1,,0.844
611,1:1,1:1,,0.842
612,1:1,1:1,,0.841
613,1:1,1:1,,0.838
614,1:1,2:0,+,0.832
615,1:1,2:0,+,0.685
616,1:1,1:1,,0.589
617,1:1,2:0,+,0.748
618,1:1,2:0,+,0.76
619,1:1,2:0,+,0.512
620,1:1,1:1,,0.532
621,1:1,1:1,,0.523
622,1:1,1:1,,0.53
623,1:1,1:1,,0.543
624,1:1,1:1,,0.743
625,1:1,2:0,+,0.724
626,1:1,2:0,+,0.633
627,1:1,1:1,,0.826
628,1:1,1:1,,0.61
629,1:1,1:1,,0.713
630,1:1,2:0,+,0.695
631,1:1,2:0,+,0.519
632,1:1,1:1,,0.54
633,1:1,1:1,,0.57
634,1:1,2:0,+,0.591
635,1:1,2:0,+,0.89
636,1:1,2:0,+,0.648
637,1:1,2:0,+,0.643
638,1:1,1:1,,0.608
639,1:1,1:1,,0.727
640,1:1,1:1,,0.805
641,1:1,1:1,,0.787
642,1:1,1:1,,0.613
643,1:1,1:1,,0.844
644,1:1,2:0,+,0.712
645,1:1,1:1,,0.542
646,1:1,1:1,,0.728
647,1:1,2:0,+,0.619
648,1:1,1:1,,0.533
649,1:1,1:1,,0.844
650,1:1,1:1,,0.583
651,1:1,1:1,,0.592
652,1:1,2:0,+,0.64
653,1:1,2:0,+,0.874
654,1:1,1:1,,0.515
655,1:1,1:1,,0.845
656,1:1,1:1,,0.765
657,1:1,1:1,,0.718
658,1:1,2:0,+,0.646
659,1:1,2:0,+,0.875
660,1:1,2:0,+,0.896
661,1:1,2:0,+,0.753
662,1:1,1:1,,0.802
663,1:1,1:1,,0.826
664,1:1,1:1,,0.737
665,1:1,1:1,,0.719
666,1:1,2:0,+,0.507
667,1:1,1:1,,0.51
668,1:1,2:0,+,0.52
669,1:1,1:1,,0.593
670,1:1,1:1,,0.838
671,1:1,1:1,,0.838
672,1:1,1:1,,0.84
673,1:1,1:1,,0.841
674,1:1,1:1,,0.842
675,1:1,1:1,,0.752
676,1:1,1:1,,0.843
677,1:1,1:1,,0.537
678,1:1,1:1,,0.538
679,1:1,1:1,,0.541
680,1:1,1:1,,0.535
681,1:1,1:1,,0.533
682,1:1,1:1,,0.534
683,1:1,1:1,,0.84
684,1:1,1:1,,0.837
685,1:1,1:1,,0.838
686,1:1,1:1,,0.841
687,1:1,1:1,,0.842
688,1:1,1:1,,0.666
689,1:1,1:1,,0.844
690,1:1,1:1,,0.843
691,1:1,1:1,,0.843
692,1:1,1:1,,0.844
693,1:1,1:1,,0.844
694,1:1,1:1,,0.797
695,1:1,1:1,,0.844
696,1:1,1:1,,0.844
697,1:1,1:1,,0.843
698,1:1,1:1,,0.844
699,1:1,1:1,,0.844
700,1:1,1:1,,0.844
701,1:1,1:1,,0.774
702,1:1,1:1,,0.844
703,1:1,1:1,,0.843
704,1:1,1:1,,0.844
705,1:1,1:1,,0.844
706,1:1,1:1,,0.844
707,1:1,1:1,,0.844
708,1:1,1:1,,0.782
709,1:1,1:1,,0.844
710,1:1,1:1,,0.844
711,1:1,1:1,,0.843
712,1:1,1:1,,0.844
713,1:1,1:1,,0.844
714,1:1,1:1,,0.844
715,1:1,1:1,,0.786
716,1:1,1:1,,0.844
717,1:1,1:1,,0.844
718,1:1,1:1,,0.843
719,1:1,1:1,,0.843
720,1:1,1:1,,0.844
721,1:1,1:1,,0.844
722,1:1,1:1,,0.828
723,1:1,1:1,,0.844
724,1:1,1:1,,0.844
725,1:1,1:1,,0.843
726,1:1,1:1,,0.843
727,1:1,1:1,,0.844
728,1:1,1:1,,0.844
729,1:1,1:1,,0.795
730,1:1,1:1,,0.844
731,1:1,1:1,,0.844
732,1:1,1:1,,0.844
733,1:1,1:1,,0.844
734,1:1,1:1,,0.844
735,1:1,1:1,,0.844
736,1:1,1:1,,0.798
737,1:1,1:1,,0.844
738,1:1,1:1,,0.843
739,1:1,1:1,,0.844
740,1:1,1:1,,0.844
741,1:1,1:1,,0.838
742,1:1,1:1,,0.844
743,1:1,1:1,,0.832
744,1:1,1:1,,0.844
745,1:1,1:1,,0.844
746,1:1,1:1,,0.842
747,1:1,1:1,,0.843
748,1:1,1:1,,0.844
749,1:1,1:1,,0.845
750,1:1,1:1,,0.807
751,1:1,1:1,,0.844
752,1:1,1:1,,0.844
753,1:1,1:1,,0.844
754,1:1,1:1,,0.844
755,1:1,1:1,,0.844
756,1:1,1:1,,0.845
757,1:1,1:1,,0.811
758,1:1,1:1,,0.844
759,1:1,1:1,,0.844
760,1:1,1:1,,0.842
761,1:1,1:1,,0.843
762,1:1,1:1,,0.844
763,1:1,1:1,,0.845
764,1:1,1:1,,0.815
765,1:1,1:1,,0.844
766,1:1,1:1,,0.844
767,1:1,1:1,,0.842
768,1:1,1:1,,0.842
769,1:1,1:1,,0.844
770,1:1,1:1,,0.845
771,1:1,1:1,,0.817
772,1:1,1:1,,0.844
773,1:1,1:1,,0.844
774,1:1,1:1,,0.844
775,1:1,1:1,,0.844
776,1:1,1:1,,0.845
777,1:1,1:1,,0.845
778,1:1,1:1,,0.822
779,1:1,1:1,,0.845
780,1:1,1:1,,0.844
781,1:1,1:1,,0.842
782,1:1,1:1,,0.843
783,1:1,1:1,,0.843
784,1:1,1:1,,0.844
785,1:1,1:1,,0.836
786,1:1,1:1,,0.845
787,1:1,1:1,,0.844
788,1:1,1:1,,0.827
789,1:1,1:1,,0.84
790,1:1,1:1,,0.841
791,1:1,1:1,,0.843
792,1:1,1:1,,0.844
793,1:1,1:1,,0.786
794,1:1,1:1,,0.839
795,1:1,1:1,,0.836
796,1:1,1:1,,0.841
797,1:1,1:1,,0.829
798,1:1,1:1,,0.842
799,1:1,1:1,,0.737
800,1:1,1:1,,0.842
801,1:1,1:1,,0.792
802,1:1,1:1,,0.768
803,1:1,1:1,,0.798
804,1:1,1:1,,0.819
805,1:1,1:1,,0.83
806,1:1,1:1,,0.545
807,1:1,1:1,,0.802
808,1:1,1:1,,0.843
809,1:1,1:1,,0.837
810,1:1,1:1,,0.839
811,1:1,1:1,,0.839
812,1:1,1:1,,0.841
813,1:1,1:1,,0.828
814,1:1,1:1,,0.845
815,1:1,1:1,,0.844
816,1:1,1:1,,0.844
817,1:1,1:1,,0.844
818,1:1,1:1,,0.845
819,1:1,1:1,,0.845
820,1:1,1:1,,0.831
821,1:1,1:1,,0.845
822,1:1,1:1,,0.844
823,1:1,1:1,,0.841
824,1:1,1:1,,0.845
825,1:1,1:1,,0.845
826,1:1,1:1,,0.845
827,1:1,1:1,,0.832
828,1:1,1:1,,0.845
829,1:1,1:1,,0.844
830,1:1,1:1,,0.841
831,1:1,1:1,,0.845
832,1:1,1:1,,0.845
833,1:1,1:1,,0.845
834,1:1,1:1,,0.833
835,1:1,1:1,,0.845
836,1:1,1:1,,0.844
837,1:1,1:1,,0.844
838,1:1,1:1,,0.845
839,1:1,1:1,,0.827
840,1:1,1:1,,0.842
841,1:1,1:1,,0.836
842,1:1,1:1,,0.845
843,1:1,1:1,,0.844
844,1:1,1:1,,0.844
845,1:1,1:1,,0.845
846,1:1,1:1,,0.845
847,1:1,1:1,,0.845
848,1:1,1:1,,0.836
849,1:1,1:1,,0.845
850,1:1,1:1,,0.825
851,1:1,1:1,,0.804
852,1:1,1:1,,0.821
853,1:1,1:1,,0.832
854,1:1,1:1,,0.838
855,1:1,1:1,,0.556
856,1:1,1:1,,0.825
857,1:1,1:1,,0.841
858,1:1,1:1,,0.832
859,1:1,1:1,,0.833
860,1:1,1:1,,0.837
861,1:1,1:1,,0.838
862,1:1,1:1,,0.823
863,1:1,1:1,,0.845
864,1:1,1:1,,0.754
865,1:1,1:1,,0.768
866,1:1,1:1,,0.694
867,1:1,1:1,,0.739
868,1:1,1:1,,0.78
869,1:1,1:1,,0.535
870,1:1,1:1,,0.685
871,1:1,1:1,,0.844
872,1:1,1:1,,0.844
873,1:1,1:1,,0.844
874,1:1,1:1,,0.782
875,1:1,1:1,,0.836
876,1:1,1:1,,0.821
877,1:1,1:1,,0.845
878,1:1,1:1,,0.844
879,1:1,1:1,,0.844
880,1:1,1:1,,0.845
881,1:1,1:1,,0.823
882,1:1,1:1,,0.842
883,1:1,1:1,,0.835
884,1:1,1:1,,0.845
885,1:1,1:1,,0.774
886,1:1,1:1,,0.783
887,1:1,1:1,,0.719
888,1:1,1:1,,0.761
889,1:1,1:1,,0.538
890,1:1,1:1,,0.704
891,1:1,1:1,,0.839
892,1:1,1:1,,0.814
893,1:1,1:1,,0.826
894,1:1,1:1,,0.826
895,1:1,1:1,,0.834
896,1:1,1:1,,0.814
897,1:1,1:1,,0.845
898,1:1,1:1,,0.843
899,1:1,1:1,,0.837
900,1:1,1:1,,0.845
901,1:1,1:1,,0.845
902,1:1,1:1,,0.842
903,1:1,1:1,,0.845
904,1:1,1:1,,0.845
905,1:1,1:1,,0.845
906,1:1,1:1,,0.845
907,1:1,1:1,,0.817
908,1:1,1:1,,0.84
909,1:1,1:1,,0.832
910,1:1,1:1,,0.845
911,1:1,1:1,,0.843
912,1:1,1:1,,0.836
913,1:1,1:1,,0.839
