@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'table' {'1','0'}

@DATA
1778.0,1289.0,150.0,149.0,90.0,27.0,'1'
1928.0,1289.0,1588.0,150.0,87.0,28.0,'1'
341.0,1326.0,57.0,1588.0,30.0,25.0,'1'
398.0,1326.0,578.0,57.0,99.0,28.0,'1'
976.0,1326.0,149.0,578.0,88.0,26.0,'1'
1125.0,1326.0,503.0,149.0,87.0,27.0,'1'
1628.0,1326.0,150.0,503.0,90.0,28.0,'1'
1778.0,1326.0,149.0,150.0,89.0,27.0,'1'
1927.0,1326.0,1588.0,149.0,88.0,27.0,'1'
340.0,1363.0,61.0,1588.0,33.0,26.0,'1'
401.0,1363.0,577.0,61.0,79.0,28.0,'1'
978.0,1363.0,149.0,577.0,89.0,28.0,'1'
1127.0,1363.0,147.0,149.0,88.0,27.0,'1'
1274.0,1363.0,358.0,147.0,89.0,27.0,'1'
1632.0,1363.0,148.0,358.0,87.0,28.0,'1'
1780.0,1363.0,151.0,148.0,89.0,27.0,'1'
1931.0,1363.0,145.0,151.0,85.0,27.0,'1'
2076.0,1363.0,1737.0,145.0,87.0,27.0,'1'
340.0,1401.0,59.0,1737.0,32.0,26.0,'1'
399.0,1401.0,71.0,59.0,99.0,29.0,'1'
340.0,1439.0,60.0,71.0,33.0,27.0,'1'
400.0,1439.0,71.0,60.0,81.0,29.0,'1'
340.0,1476.0,58.0,71.0,31.0,26.0,'1'
398.0,1476.0,69.0,58.0,82.0,28.0,'1'
340.0,1513.0,61.0,69.0,34.0,25.0,'1'
401.0,1513.0,575.0,61.0,80.0,29.0,'1'
976.0,1513.0,149.0,575.0,89.0,26.0,'1'
1125.0,1513.0,504.0,149.0,90.0,27.0,'1'
1629.0,1513.0,151.0,504.0,91.0,28.0,'1'
1780.0,1513.0,148.0,151.0,90.0,27.0,'1'
1928.0,1513.0,1589.0,148.0,89.0,27.0,'1'
340.0,1549.0,59.0,1589.0,32.0,26.0,'1'
399.0,1549.0,577.0,59.0,100.0,29.0,'1'
976.0,1549.0,150.0,577.0,90.0,27.0,'1'
1126.0,1549.0,147.0,150.0,87.0,28.0,'1'
1273.0,1549.0,933.0,147.0,89.0,28.0,'1'
341.0,1587.0,59.0,933.0,32.0,31.0,'1'
400.0,1587.0,70.0,59.0,100.0,29.0,'1'
341.0,1624.0,58.0,70.0,31.0,27.0,'1'
399.0,1624.0,69.0,58.0,100.0,29.0,'1'
341.0,1660.0,60.0,69.0,33.0,27.0,'1'
401.0,1660.0,576.0,60.0,100.0,29.0,'1'
977.0,1660.0,149.0,576.0,90.0,27.0,'1'
1126.0,1660.0,148.0,149.0,89.0,27.0,'1'
1274.0,1660.0,356.0,148.0,90.0,27.0,'1'
1630.0,1660.0,150.0,356.0,89.0,29.0,'1'
1780.0,1660.0,149.0,150.0,91.0,28.0,'1'
1929.0,1660.0,147.0,149.0,89.0,28.0,'1'
2076.0,1660.0,1736.0,147.0,89.0,27.0,'1'
341.0,1699.0,59.0,1736.0,33.0,25.0,'1'
400.0,1699.0,577.0,59.0,81.0,29.0,'1'
977.0,1699.0,149.0,577.0,89.0,27.0,'1'
1126.0,1699.0,786.0,149.0,88.0,26.0,'1'
341.0,1735.0,59.0,786.0,14.0,23.0,'1'
400.0,1735.0,577.0,59.0,64.0,29.0,'1'
977.0,1735.0,150.0,577.0,90.0,27.0,'1'
1127.0,1735.0,502.0,150.0,88.0,28.0,'1'
1629.0,1735.0,152.0,502.0,91.0,28.0,'1'
1781.0,1735.0,147.0,152.0,87.0,28.0,'1'
1928.0,1735.0,1588.0,147.0,89.0,28.0,'1'
341.0,1773.0,58.0,1588.0,32.0,24.0,'1'
399.0,1773.0,68.0,58.0,100.0,30.0,'1'
342.0,1809.0,60.0,68.0,27.0,25.0,'1'
402.0,1809.0,576.0,60.0,99.0,29.0,'1'
978.0,1809.0,148.0,576.0,90.0,27.0,'1'
1126.0,1809.0,503.0,148.0,90.0,26.0,'1'
1629.0,1809.0,150.0,503.0,91.0,28.0,'1'
1779.0,1809.0,150.0,150.0,90.0,28.0,'1'
1929.0,1809.0,1588.0,150.0,88.0,27.0,'1'
342.0,1847.0,58.0,1588.0,33.0,32.0,'1'
400.0,1847.0,578.0,58.0,82.0,29.0,'1'
978.0,1847.0,149.0,578.0,88.0,27.0,'1'
1127.0,1847.0,148.0,149.0,88.0,27.0,'1'
1275.0,1847.0,801.0,148.0,88.0,28.0,'1'
2076.0,1847.0,1736.0,801.0,89.0,27.0,'1'
341.0,1884.0,61.0,1736.0,34.0,23.0,'1'
402.0,1884.0,873.0,61.0,99.0,29.0,'1'
1275.0,1884.0,654.0,873.0,90.0,27.0,'1'
1929.0,1884.0,147.0,654.0,88.0,28.0,'1'
2076.0,1884.0,1735.0,147.0,88.0,27.0,'1'
342.0,1920.0,58.0,1735.0,33.0,25.0,'1'
400.0,1920.0,578.0,58.0,83.0,28.0,'1'
978.0,1920.0,150.0,578.0,90.0,28.0,'1'
1128.0,1920.0,502.0,150.0,88.0,27.0,'1'
1630.0,1920.0,150.0,502.0,90.0,28.0,'1'
1780.0,1920.0,149.0,150.0,90.0,28.0,'1'
1929.0,1920.0,1587.0,149.0,88.0,27.0,'1'
343.0,1958.0,60.0,1587.0,32.0,25.0,'1'
403.0,1958.0,557.0,60.0,80.0,28.0,'1'
960.0,1958.0,148.0,557.0,108.0,27.0,'1'
1108.0,1958.0,167.0,148.0,108.0,27.0,'1'
1275.0,1958.0,336.0,167.0,90.0,27.0,'1'
1611.0,1958.0,151.0,336.0,109.0,28.0,'1'
1762.0,1958.0,149.0,151.0,108.0,27.0,'1'
1911.0,1958.0,166.0,149.0,106.0,26.0,'1'
2077.0,1958.0,1735.0,166.0,87.0,27.0,'1'
343.0,1996.0,57.0,1735.0,31.0,25.0,'1'
400.0,1996.0,69.0,57.0,81.0,30.0,'1'
342.0,2033.0,61.0,69.0,28.0,25.0,'1'
403.0,2033.0,1526.0,61.0,80.0,29.0,'1'
1929.0,2033.0,147.0,1526.0,88.0,27.0,'1'
2076.0,2033.0,1735.0,147.0,88.0,27.0,'1'
342.0,2070.0,59.0,1735.0,14.0,23.0,'1'
401.0,2070.0,726.0,59.0,63.0,29.0,'1'
1127.0,2070.0,802.0,726.0,88.0,28.0,'1'
1929.0,2070.0,1587.0,802.0,89.0,27.0,'1'
343.0,2108.0,60.0,1587.0,32.0,26.0,'1'
403.0,2108.0,70.0,60.0,82.0,29.0,'1'
344.0,2144.0,57.0,70.0,30.0,26.0,'1'
401.0,2144.0,68.0,57.0,83.0,30.0,'1'
344.0,2181.0,59.0,68.0,31.0,26.0,'1'
403.0,2181.0,70.0,59.0,81.0,30.0,'1'
344.0,2217.0,60.0,70.0,29.0,26.0,'1'
404.0,2217.0,558.0,60.0,82.0,29.0,'1'
962.0,2217.0,148.0,558.0,107.0,28.0,'1'
1110.0,2217.0,165.0,148.0,108.0,28.0,'1'
1275.0,2217.0,339.0,165.0,90.0,27.0,'1'
1614.0,2217.0,148.0,339.0,108.0,28.0,'1'
1762.0,2217.0,149.0,148.0,109.0,27.0,'1'
1911.0,2217.0,169.0,149.0,107.0,28.0,'1'
2080.0,2217.0,1736.0,169.0,86.0,28.0,'1'
345.0,2254.0,57.0,1736.0,32.0,26.0,'1'
402.0,2254.0,577.0,57.0,100.0,30.0,'1'
979.0,2254.0,149.0,577.0,89.0,28.0,'1'
1128.0,2254.0,503.0,149.0,88.0,28.0,'1'
1631.0,2254.0,149.0,503.0,89.0,27.0,'1'
1780.0,2254.0,149.0,149.0,90.0,28.0,'1'
1929.0,2254.0,148.0,149.0,89.0,27.0,'1'
2077.0,2254.0,1735.0,148.0,88.0,27.0,'1'
343.0,2292.0,61.0,1735.0,33.0,27.0,'1'
404.0,2292.0,72.0,61.0,82.0,29.0,'1'
343.0,2329.0,60.0,72.0,29.0,26.0,'1'
403.0,2329.0,576.0,60.0,100.0,30.0,'1'
979.0,2329.0,148.0,576.0,90.0,27.0,'1'
1127.0,2329.0,784.0,148.0,90.0,27.0,'1'
344.0,2366.0,60.0,784.0,33.0,26.0,'1'
404.0,2366.0,576.0,60.0,82.0,29.0,'1'
980.0,2366.0,149.0,576.0,89.0,28.0,'1'
1129.0,2366.0,147.0,149.0,89.0,27.0,'1'
1276.0,2366.0,355.0,147.0,90.0,27.0,'1'
1631.0,2366.0,149.0,355.0,90.0,27.0,'1'
1780.0,2366.0,150.0,149.0,91.0,27.0,'1'
1930.0,2366.0,148.0,150.0,89.0,27.0,'1'
2078.0,2366.0,1734.0,148.0,89.0,27.0,'1'
345.0,2403.0,58.0,1734.0,32.0,26.0,'1'
403.0,2403.0,70.0,58.0,99.0,30.0,'1'
343.0,2439.0,61.0,70.0,33.0,26.0,'1'
404.0,2439.0,576.0,61.0,100.0,29.0,'1'
980.0,2439.0,151.0,576.0,89.0,27.0,'1'
1131.0,2439.0,502.0,151.0,86.0,27.0,'1'
1633.0,2439.0,150.0,502.0,89.0,29.0,'1'
1783.0,2439.0,150.0,150.0,88.0,28.0,'1'
1933.0,2439.0,1590.0,150.0,86.0,27.0,'1'
344.0,2477.0,60.0,1590.0,14.0,24.0,'1'
404.0,2477.0,575.0,60.0,99.0,29.0,'1'
979.0,2477.0,652.0,575.0,90.0,27.0,'1'
1631.0,2477.0,1288.0,652.0,90.0,27.0,'1'
344.0,2514.0,62.0,1288.0,28.0,25.0,'1'
406.0,2514.0,574.0,62.0,99.0,29.0,'1'
980.0,2514.0,651.0,574.0,91.0,28.0,'1'
1631.0,2514.0,1287.0,651.0,91.0,28.0,'1'
345.0,2552.0,635.0,1287.0,51.0,27.0,'1'
980.0,2552.0,638.0,635.0,89.0,28.0,'1'
344.0,2588.0,620.0,638.0,160.0,30.0,'1'
964.0,2588.0,651.0,620.0,106.0,27.0,'1'
1615.0,2588.0,1270.0,651.0,106.0,28.0,'1'
346.0,2625.0,616.0,1270.0,157.0,29.0,'1'
962.0,2625.0,650.0,616.0,107.0,29.0,'1'
1612.0,2625.0,1267.0,650.0,109.0,28.0,'1'
346.0,2665.0,94.0,1267.0,52.0,25.0,'1'
954.0,2371.0,166.0,662.0,139.0,31.0,'1'
1120.0,2371.0,461.0,166.0,229.0,36.0,'1'
1581.0,2371.0,206.0,461.0,183.0,30.0,'1'
1787.0,2371.0,831.0,206.0,83.0,34.0,'1'
959.0,2436.0,682.0,831.0,411.0,52.0,'1'
1641.0,2436.0,61.0,682.0,144.0,36.0,'1'
1641.0,2497.0,683.0,61.0,166.0,30.0,'1'
960.0,2538.0,683.0,683.0,327.0,47.0,'1'
1643.0,2538.0,685.0,683.0,165.0,31.0,'1'
960.0,2579.0,684.0,685.0,350.0,52.0,'1'
1644.0,2579.0,686.0,684.0,184.0,31.0,'1'
961.0,2641.0,685.0,686.0,285.0,39.0,'1'
1646.0,2641.0,686.0,685.0,183.0,31.0,'1'
962.0,2684.0,682.0,686.0,201.0,52.0,'1'
1644.0,2684.0,685.0,682.0,165.0,30.0,'1'
962.0,2745.0,685.0,685.0,348.0,51.0,'1'
1647.0,2745.0,692.0,685.0,115.0,36.0,'1'
958.0,2807.0,689.0,692.0,59.0,29.0,'1'
1647.0,2807.0,625.0,689.0,122.0,30.0,'1'
1023.0,2833.0,363.0,625.0,15.0,30.0,'1'
470.0,505.0,78.0,1756.0,48.0,26.0,'1'
548.0,505.0,919.0,78.0,35.0,26.0,'1'
1467.0,505.0,79.0,919.0,50.0,26.0,'1'
1546.0,505.0,1080.0,79.0,34.0,26.0,'1'
467.0,542.0,999.0,1080.0,114.0,29.0,'1'
1466.0,542.0,1001.0,999.0,112.0,30.0,'1'
469.0,622.0,1099.0,1001.0,134.0,28.0,'1'
1568.0,622.0,98.0,1099.0,72.0,28.0,'1'
1666.0,622.0,77.0,98.0,53.0,26.0,'1'
1743.0,622.0,180.0,77.0,95.0,27.0,'1'
1568.0,661.0,77.0,180.0,53.0,29.0,'1'
1645.0,661.0,78.0,77.0,53.0,27.0,'1'
1723.0,661.0,119.0,78.0,95.0,30.0,'1'
1842.0,661.0,221.0,119.0,195.0,31.0,'1'
2063.0,661.0,1493.0,221.0,117.0,29.0,'1'
571.0,702.0,61.0,1493.0,32.0,26.0,'1'
632.0,702.0,59.0,61.0,31.0,27.0,'1'
691.0,702.0,878.0,59.0,95.0,28.0,'1'
1569.0,702.0,99.0,878.0,70.0,27.0,'1'
1668.0,702.0,78.0,99.0,53.0,28.0,'1'
1746.0,702.0,1173.0,78.0,14.0,24.0,'1'
574.0,739.0,78.0,1173.0,52.0,28.0,'1'
652.0,739.0,159.0,78.0,134.0,33.0,'1'
811.0,739.0,138.0,159.0,113.0,29.0,'1'
949.0,739.0,620.0,138.0,94.0,30.0,'1'
1569.0,739.0,79.0,620.0,51.0,27.0,'1'
1648.0,739.0,137.0,79.0,110.0,35.0,'1'
1785.0,739.0,81.0,137.0,32.0,26.0,'1'
1866.0,739.0,1293.0,81.0,93.0,29.0,'1'
574.0,784.0,99.0,1293.0,75.0,29.0,'1'
673.0,784.0,118.0,99.0,93.0,28.0,'1'
791.0,784.0,99.0,118.0,74.0,27.0,'1'
890.0,784.0,320.0,99.0,116.0,26.0,'1'
573.0,820.0,184.0,320.0,154.0,34.0,'1'
757.0,820.0,76.0,184.0,28.0,26.0,'1'
833.0,820.0,736.0,76.0,92.0,28.0,'1'
1569.0,820.0,60.0,736.0,31.0,26.0,'1'
1629.0,820.0,58.0,60.0,31.0,28.0,'1'
1687.0,820.0,125.0,58.0,112.0,28.0,'1'
1569.0,859.0,79.0,125.0,55.0,28.0,'1'
1648.0,859.0,177.0,79.0,151.0,29.0,'1'
1825.0,859.0,120.0,177.0,97.0,28.0,'1'
1945.0,859.0,1449.0,120.0,195.0,31.0,'1'
497.0,902.0,80.0,1449.0,32.0,28.0,'1'
577.0,902.0,79.0,80.0,51.0,28.0,'1'
656.0,902.0,201.0,79.0,167.0,30.0,'1'
857.0,902.0,233.0,201.0,207.0,29.0,'1'
1090.0,902.0,482.0,233.0,116.0,27.0,'1'
1570.0,938.0,99.0,482.0,70.0,28.0,'1'
1669.0,938.0,78.0,99.0,54.0,28.0,'1'
1747.0,938.0,1249.0,78.0,16.0,25.0,'1'
499.0,979.0,78.0,1249.0,33.0,27.0,'1'
577.0,979.0,77.0,78.0,53.0,28.0,'1'
654.0,979.0,140.0,77.0,117.0,27.0,'1'
794.0,979.0,60.0,140.0,34.0,27.0,'1'
854.0,979.0,156.0,60.0,134.0,29.0,'1'
1010.0,979.0,561.0,156.0,96.0,27.0,'1'
1571.0,979.0,137.0,561.0,111.0,33.0,'1'
1708.0,979.0,79.0,137.0,34.0,28.0,'1'
1787.0,979.0,1173.0,79.0,93.0,29.0,'1'
615.0,1026.0,50.0,1173.0,195.0,32.0,'1'
576.0,1057.0,240.0,50.0,213.0,34.0,'1'
816.0,1057.0,80.0,240.0,32.0,28.0,'1'
896.0,1057.0,678.0,80.0,92.0,29.0,'1'
1574.0,1057.0,57.0,678.0,30.0,27.0,'1'
1631.0,1057.0,58.0,57.0,31.0,28.0,'1'
1689.0,1057.0,1112.0,58.0,75.0,27.0,'1'
578.0,1096.0,140.0,1112.0,89.0,25.0,'1'
718.0,1096.0,59.0,140.0,30.0,28.0,'1'
777.0,1096.0,60.0,59.0,30.0,27.0,'1'
837.0,1096.0,736.0,60.0,132.0,28.0,'1'
1573.0,1096.0,216.0,736.0,191.0,27.0,'1'
1789.0,1096.0,60.0,216.0,35.0,29.0,'1'
1849.0,1096.0,1132.0,60.0,215.0,34.0,'1'
718.0,1136.0,58.0,1132.0,29.0,27.0,'1'
776.0,1136.0,59.0,58.0,31.0,26.0,'1'
835.0,1136.0,738.0,59.0,117.0,33.0,'1'
1573.0,1136.0,156.0,738.0,134.0,34.0,'1'
1729.0,1136.0,220.0,156.0,194.0,30.0,'1'
1949.0,1136.0,1233.0,220.0,116.0,28.0,'1'
717.0,1175.0,60.0,1233.0,32.0,27.0,'1'
777.0,1175.0,60.0,60.0,32.0,25.0,'1'
837.0,1175.0,737.0,60.0,75.0,34.0,'1'
1574.0,1175.0,98.0,737.0,74.0,29.0,'1'
1672.0,1175.0,58.0,98.0,31.0,29.0,'1'
1730.0,1175.0,99.0,58.0,74.0,28.0,'1'
1829.0,1175.0,1113.0,99.0,115.0,28.0,'1'
717.0,1216.0,60.0,1113.0,31.0,25.0,'1'
777.0,1216.0,61.0,60.0,31.0,25.0,'1'
838.0,1216.0,735.0,61.0,113.0,29.0,'1'
1573.0,1216.0,180.0,735.0,151.0,34.0,'1'
1753.0,1216.0,76.0,180.0,31.0,28.0,'1'
1829.0,1216.0,1113.0,76.0,96.0,29.0,'1'
717.0,1260.0,60.0,1113.0,31.0,28.0,'1'
777.0,1260.0,59.0,60.0,31.0,26.0,'1'
836.0,1260.0,125.0,59.0,94.0,27.0,'1'
716.0,1295.0,61.0,125.0,32.0,24.0,'1'
777.0,1295.0,739.0,61.0,154.0,26.0,'1'
1516.0,1295.0,58.0,739.0,15.0,28.0,'1'
1574.0,1295.0,216.0,58.0,191.0,30.0,'1'
1790.0,1295.0,59.0,216.0,35.0,28.0,'1'
1849.0,1295.0,1130.0,59.0,117.0,32.0,'1'
720.0,1334.0,155.0,1130.0,131.0,28.0,'1'
875.0,1334.0,702.0,155.0,114.0,32.0,'1'
1577.0,1334.0,173.0,702.0,148.0,28.0,'1'
1750.0,1334.0,122.0,173.0,95.0,27.0,'1'
1872.0,1334.0,161.0,122.0,138.0,31.0,'1'
2033.0,1334.0,1316.0,161.0,114.0,29.0,'1'
718.0,1374.0,59.0,1316.0,32.0,27.0,'1'
777.0,1374.0,801.0,59.0,111.0,28.0,'1'
1578.0,1374.0,75.0,801.0,51.0,28.0,'1'
1653.0,1374.0,99.0,75.0,74.0,35.0,'1'
1752.0,1374.0,1034.0,99.0,114.0,27.0,'1'
719.0,1414.0,59.0,1034.0,31.0,26.0,'1'
778.0,1414.0,59.0,59.0,32.0,27.0,'1'
837.0,1414.0,739.0,59.0,96.0,35.0,'1'
1576.0,1414.0,196.0,739.0,169.0,33.0,'1'
1772.0,1414.0,80.0,196.0,36.0,27.0,'1'
1852.0,1414.0,1134.0,80.0,93.0,30.0,'1'
719.0,1455.0,59.0,1134.0,32.0,27.0,'1'
778.0,1455.0,58.0,59.0,32.0,26.0,'1'
836.0,1455.0,162.0,58.0,133.0,31.0,'1'
998.0,1455.0,579.0,162.0,49.0,28.0,'1'
1577.0,1455.0,138.0,579.0,89.0,27.0,'1'
1715.0,1455.0,58.0,138.0,31.0,28.0,'1'
1773.0,1455.0,72.0,58.0,75.0,28.0,'1'
1713.0,1493.0,59.0,72.0,33.0,27.0,'1'
1772.0,1493.0,1192.0,59.0,196.0,29.0,'1'
581.0,1538.0,61.0,1192.0,31.0,26.0,'1'
642.0,1538.0,60.0,61.0,30.0,27.0,'1'
702.0,1538.0,125.0,60.0,152.0,27.0,'1'
582.0,1572.0,81.0,125.0,57.0,28.0,'1'
663.0,1572.0,177.0,81.0,152.0,27.0,'1'
840.0,1572.0,60.0,177.0,35.0,27.0,'1'
900.0,1572.0,158.0,60.0,134.0,29.0,'1'
1058.0,1572.0,462.0,158.0,96.0,27.0,'1'
1520.0,1572.0,58.0,462.0,15.0,24.0,'1'
1578.0,1572.0,158.0,58.0,132.0,34.0,'1'
1736.0,1572.0,179.0,158.0,151.0,29.0,'1'
1915.0,1572.0,1293.0,179.0,197.0,30.0,'1'
623.0,1610.0,956.0,1293.0,212.0,33.0,'1'
1579.0,1610.0,99.0,956.0,75.0,30.0,'1'
1678.0,1610.0,116.0,99.0,91.0,29.0,'1'
1794.0,1610.0,100.0,116.0,75.0,28.0,'1'
1894.0,1610.0,1312.0,100.0,117.0,27.0,'1'
583.0,1650.0,242.0,1312.0,212.0,34.0,'1'
825.0,1650.0,80.0,242.0,32.0,28.0,'1'
905.0,1650.0,675.0,80.0,90.0,29.0,'1'
1580.0,1650.0,180.0,675.0,150.0,35.0,'1'
1760.0,1650.0,77.0,180.0,30.0,27.0,'1'
1837.0,1650.0,261.0,77.0,94.0,30.0,'1'
1580.0,1691.0,139.0,261.0,90.0,27.0,'1'
1719.0,1691.0,58.0,139.0,30.0,29.0,'1'
1777.0,1691.0,1192.0,58.0,94.0,28.0,'1'
586.0,1731.0,60.0,1192.0,30.0,25.0,'1'
646.0,1731.0,63.0,60.0,31.0,27.0,'1'
709.0,1731.0,1010.0,63.0,169.0,29.0,'1'
1719.0,1731.0,59.0,1010.0,30.0,26.0,'1'
1778.0,1731.0,59.0,59.0,30.0,28.0,'1'
1837.0,1731.0,1251.0,59.0,134.0,29.0,'1'
587.0,1770.0,76.0,1251.0,52.0,28.0,'1'
663.0,1770.0,141.0,76.0,117.0,27.0,'1'
804.0,1770.0,59.0,141.0,34.0,28.0,'1'
863.0,1770.0,120.0,59.0,94.0,29.0,'1'
983.0,1770.0,734.0,120.0,114.0,35.0,'1'
1717.0,1770.0,61.0,734.0,32.0,26.0,'1'
1778.0,1770.0,59.0,61.0,31.0,27.0,'1'
1837.0,1770.0,1211.0,59.0,154.0,30.0,'1'
627.0,1810.0,1090.0,1211.0,152.0,28.0,'1'
1717.0,1810.0,61.0,1090.0,32.0,27.0,'1'
1778.0,1810.0,59.0,61.0,31.0,28.0,'1'
1837.0,1810.0,1253.0,59.0,177.0,30.0,'1'
585.0,1853.0,241.0,1253.0,211.0,31.0,'1'
826.0,1853.0,80.0,241.0,33.0,28.0,'1'
906.0,1853.0,618.0,80.0,91.0,29.0,'1'
1522.0,1889.0,58.0,618.0,16.0,28.0,'1'
1580.0,1889.0,177.0,58.0,155.0,29.0,'1'
1757.0,1889.0,184.0,177.0,153.0,30.0,'1'
1941.0,1889.0,1411.0,184.0,171.0,28.0,'1'
531.0,1929.0,57.0,1411.0,12.0,27.0,'1'
588.0,1929.0,158.0,57.0,133.0,29.0,'1'
746.0,1929.0,216.0,158.0,194.0,35.0,'1'
962.0,1929.0,619.0,216.0,194.0,29.0,'1'
1581.0,1929.0,136.0,619.0,113.0,29.0,'1'
1717.0,1929.0,61.0,136.0,37.0,27.0,'1'
1778.0,1929.0,158.0,61.0,136.0,29.0,'1'
1936.0,1929.0,1347.0,158.0,96.0,26.0,'1'
590.0,1969.0,239.0,1347.0,209.0,32.0,'1'
829.0,1969.0,79.0,239.0,31.0,28.0,'1'
908.0,1969.0,717.0,79.0,91.0,30.0,'1'
1625.0,1969.0,1036.0,717.0,167.0,29.0,'1'
590.0,2009.0,138.0,1036.0,89.0,26.0,'1'
728.0,2009.0,57.0,138.0,31.0,26.0,'1'
785.0,2009.0,60.0,57.0,33.0,26.0,'1'
845.0,2009.0,739.0,60.0,74.0,28.0,'1'
1584.0,2009.0,76.0,739.0,52.0,28.0,'1'
1660.0,2009.0,98.0,76.0,74.0,31.0,'1'
1758.0,2009.0,1031.0,98.0,72.0,27.0,'1'
728.0,2048.0,60.0,1031.0,31.0,24.0,'1'
788.0,2048.0,58.0,60.0,30.0,28.0,'1'
846.0,2048.0,737.0,58.0,56.0,26.0,'1'
1583.0,2048.0,195.0,737.0,169.0,33.0,'1'
1778.0,2048.0,81.0,195.0,36.0,27.0,'1'
1859.0,2048.0,1130.0,81.0,94.0,30.0,'1'
730.0,2089.0,57.0,1130.0,30.0,28.0,'1'
787.0,2089.0,58.0,57.0,31.0,28.0,'1'
845.0,2089.0,738.0,58.0,116.0,28.0,'1'
1583.0,2089.0,139.0,738.0,90.0,27.0,'1'
1722.0,2089.0,57.0,139.0,29.0,28.0,'1'
1779.0,2089.0,72.0,57.0,118.0,28.0,'1'
1720.0,2130.0,59.0,72.0,32.0,26.0,'1'
1779.0,2130.0,1189.0,59.0,178.0,28.0,'1'
591.0,2168.0,61.0,1189.0,32.0,26.0,'1'
652.0,2168.0,57.0,61.0,30.0,28.0,'1'
709.0,2168.0,1013.0,57.0,194.0,34.0,'1'
1722.0,2168.0,58.0,1013.0,30.0,28.0,'1'
1780.0,2168.0,1189.0,58.0,75.0,28.0,'1'
592.0,2209.0,158.0,1189.0,134.0,29.0,'1'
750.0,2209.0,216.0,158.0,194.0,36.0,'1'
966.0,2209.0,756.0,216.0,195.0,29.0,'1'
1722.0,2209.0,58.0,756.0,32.0,28.0,'1'
1780.0,2209.0,1184.0,58.0,174.0,28.0,'1'
597.0,2248.0,95.0,1184.0,71.0,29.0,'1'
692.0,2248.0,155.0,95.0,133.0,28.0,'1'
847.0,2248.0,875.0,155.0,116.0,28.0,'1'
1722.0,2248.0,59.0,875.0,31.0,27.0,'1'
1781.0,2248.0,1187.0,59.0,135.0,29.0,'1'
595.0,2289.0,138.0,1187.0,115.0,28.0,'1'
733.0,2289.0,176.0,138.0,150.0,35.0,'1'
909.0,2289.0,82.0,176.0,36.0,27.0,'1'
991.0,2289.0,733.0,82.0,93.0,30.0,'1'
1724.0,2289.0,57.0,733.0,30.0,28.0,'1'
1781.0,2289.0,71.0,57.0,137.0,27.0,'1'
1724.0,2331.0,59.0,71.0,31.0,27.0,'1'
1783.0,2331.0,57.0,59.0,30.0,27.0,'1'
1840.0,2331.0,1302.0,57.0,76.0,27.0,'1'
539.0,2369.0,58.0,1302.0,13.0,27.0,'1'
597.0,2369.0,78.0,58.0,53.0,29.0,'1'
675.0,2369.0,1049.0,78.0,212.0,32.0,'1'
1724.0,2369.0,59.0,1049.0,32.0,27.0,'1'
1783.0,2369.0,1149.0,59.0,113.0,29.0,'1'
635.0,2411.0,216.0,1149.0,192.0,32.0,'1'
851.0,2411.0,255.0,216.0,115.0,28.0,'1'
