"x","y","x+1 dist","x-1 dist","y+1 dist","y-1 dist","width","height","table","confidence(1)","confidence(0)","prediction(table)"
138.0,343.0,1517.0,2143.0,55.0,55.0,142.0,26.0,"1",0.7954258228889461,0.2045741771110539,"1"
1655.0,343.0,54.0,1517.0,36.0,55.0,42.0,28.0,"0",0.6614207755878524,0.33857922441214755,"1"
1709.0,343.0,196.0,54.0,36.0,55.0,183.0,35.0,"0",0.011575170306485853,0.9884248296935141,"0"
1905.0,343.0,126.0,196.0,36.0,55.0,113.0,29.0,"0",0.07524630560147073,0.9247536943985293,"0"
2031.0,343.0,61.0,126.0,36.0,55.0,49.0,28.0,"0",0.050689155632049905,0.9493108443679501,"0"
2092.0,343.0,1955.0,61.0,36.0,55.0,90.0,29.0,"0",0.02998785997930038,0.9700121400206996,"0"
138.0,379.0,121.0,1955.0,36.0,36.0,108.0,34.0,"1",0.03757159881703867,0.9624284011829614,"0"
259.0,379.0,60.0,121.0,55.0,36.0,49.0,29.0,"1",0.015479660033533085,0.9845203399664669,"0"
319.0,379.0,85.0,60.0,55.0,36.0,74.0,28.0,"1",0.014986188231070403,0.9850138117689295,"0"
404.0,379.0,1309.0,85.0,55.0,36.0,123.0,23.0,"1",0.5131991245947479,0.4868008754052522,"1"
1713.0,379.0,65.0,1309.0,55.0,36.0,53.0,26.0,"0",0.28008873573055987,0.7199112642694402,"0"
1778.0,379.0,125.0,65.0,55.0,36.0,113.0,28.0,"0",0.03356385254617606,0.9664361474538239,"0"
1903.0,379.0,159.0,125.0,55.0,36.0,146.0,23.0,"0",0.08798460917231621,0.9120153908276838,"0"
2062.0,379.0,46.0,159.0,55.0,36.0,33.0,28.0,"0",0.0634309899595624,0.9365690100404376,"0"
2108.0,379.0,57.0,46.0,55.0,36.0,45.0,23.0,"0",0.0325880694723363,0.9674119305276636,"0"
2165.0,379.0,110.0,57.0,55.0,36.0,97.0,30.0,"0",0.026461417698108478,0.9735385823018916,"0"
2275.0,379.0,2098.0,110.0,55.0,36.0,41.0,29.0,"0",0.07260690081115256,0.9273930991888475,"0"
178.0,416.0,57.0,2098.0,55.0,55.0,44.0,26.0,"1",0.04167002945114859,0.9583299705488513,"0"
235.0,416.0,61.0,57.0,823.0,55.0,49.0,28.0,"1",0.00747591546334225,0.9925240845366577,"0"
296.0,416.0,684.0,61.0,823.0,55.0,111.0,29.0,"1",0.07972588425701782,0.9202741157429821,"0"
980.0,416.0,241.0,684.0,823.0,55.0,136.0,34.0,"1",0.6706292685855452,0.3293707314144549,"1"
1221.0,416.0,224.0,241.0,823.0,55.0,118.0,34.0,"1",0.5578613196241999,0.44213868037580006,"1"
1445.0,416.0,395.0,224.0,823.0,55.0,118.0,36.0,"1",0.6138854785701584,0.38611452142984154,"1"
1840.0,416.0,38.0,395.0,823.0,55.0,29.0,29.0,"0",0.12331032263426482,0.8766896773657352,"0"
1878.0,416.0,181.0,38.0,823.0,55.0,42.0,29.0,"0",0.3619731841067015,0.6380268158932985,"0"
2059.0,416.0,107.0,181.0,823.0,55.0,95.0,29.0,"0",0.1382898683070501,0.8617101316929499,"0"
2166.0,416.0,1167.0,107.0,823.0,55.0,77.0,28.0,"0",0.22454721607918685,0.7754527839208132,"0"
1000.0,436.0,462.0,1167.0,823.0,823.0,117.0,37.0,"1",0.7970975895291581,0.20290241047084193,"1"
1462.0,436.0,192.0,462.0,823.0,823.0,101.0,37.0,"1",0.7620113292755142,0.2379886707244858,"1"
1654.0,436.0,279.0,192.0,823.0,823.0,174.0,27.0,"0",0.8035552638661148,0.19644473613388513,"1"
1933.0,436.0,322.0,279.0,823.0,823.0,111.0,33.0,"0",0.8327426260351968,0.16725737396480314,"1"
2255.0,436.0,2078.0,322.0,823.0,823.0,54.0,24.0,"0",0.5933508720123635,0.4066491279876365,"1"
178.0,456.0,115.0,2078.0,823.0,823.0,103.0,28.0,"1",0.15623915125124582,0.8437608487487541,"0"
293.0,456.0,944.0,115.0,83.0,823.0,138.0,23.0,"1",0.41290370136800053,0.5870962986319996,"0"
1237.0,456.0,981.0,944.0,83.0,823.0,103.0,36.0,"1",0.7945788476032676,0.2054211523967323,"1"
257.0,480.0,60.0,981.0,83.0,83.0,49.0,28.0,"1",0.14209771064483787,0.8579022893551621,"0"
317.0,480.0,733.0,60.0,120.0,83.0,74.0,28.0,"1",0.26343928518740206,0.736560714812598,"0"
1050.0,480.0,231.0,733.0,120.0,83.0,66.0,32.0,"1",0.7525765093778578,0.24742349062214228,"1"
1281.0,480.0,224.0,231.0,120.0,83.0,59.0,34.0,"1",0.7333738903233296,0.26662610967667055,"1"
1505.0,480.0,150.0,224.0,120.0,83.0,58.0,28.0,"1",0.7544306190302016,0.2455693809697984,"1"
1655.0,480.0,37.0,150.0,120.0,83.0,25.0,23.0,"0",0.1634855731303189,0.8365144268696811,"0"
1692.0,480.0,55.0,37.0,120.0,83.0,43.0,26.0,"0",0.07284499963725324,0.9271550003627468,"0"
1747.0,480.0,37.0,55.0,120.0,83.0,29.0,29.0,"0",0.05465635865963252,0.9453436413403675,"0"
1784.0,480.0,63.0,37.0,120.0,83.0,52.0,26.0,"0",0.0705224011935381,0.929477598806462,"0"
1847.0,480.0,133.0,63.0,120.0,83.0,122.0,24.0,"0",0.13006115368298077,0.8699388463170192,"0"
1980.0,480.0,138.0,133.0,120.0,83.0,126.0,29.0,"0",0.1582476238280328,0.8417523761719672,"0"
2118.0,480.0,139.0,138.0,120.0,83.0,127.0,31.0,"0",0.13518914621896366,0.8648108537810363,"0"
2257.0,480.0,2119.0,139.0,120.0,83.0,56.0,29.0,"0",0.10985832768814095,0.890141672311859,"0"
139.0,500.0,264.0,2119.0,120.0,120.0,105.0,26.0,"1",0.682606208210525,0.317393791789475,"1"
403.0,500.0,1251.0,264.0,1515.0,120.0,96.0,26.0,"1",0.47942457264894545,0.5205754273510546,"0"
1653.0,525.0,77.0,1251.0,1515.0,1515.0,65.0,20.0,"0",0.7256872364968157,0.27431276350318434,"1"
1730.0,525.0,151.0,77.0,1517.0,1515.0,137.0,29.0,"0",0.15789322365390357,0.8421067763460964,"0"
1881.0,525.0,60.0,151.0,1517.0,1515.0,49.0,28.0,"0",0.13959616503211528,0.8604038349678849,"0"
1941.0,525.0,86.0,60.0,1517.0,1515.0,74.0,29.0,"0",0.1107045034642069,0.8892954965357931,"0"
2027.0,525.0,146.0,86.0,1517.0,1515.0,134.0,37.0,"0",0.12505374902988092,0.8749462509701191,"0"
2173.0,525.0,2037.0,146.0,1517.0,1515.0,87.0,28.0,"0",0.13136638235553696,0.8686336176444631,"0"
137.0,547.0,85.0,2037.0,1517.0,1517.0,73.0,29.0,"1",0.47536056486466616,0.5246394351353338,"0"
222.0,547.0,776.0,85.0,97.0,1517.0,141.0,27.0,"1",0.23944501016215475,0.7605549898378452,"0"
998.0,547.0,239.0,776.0,97.0,1517.0,119.0,37.0,"1",0.8663744324447541,0.13362556755524582,"1"
1237.0,547.0,225.0,239.0,97.0,1517.0,104.0,32.0,"1",0.8482161294543596,0.15178387054564035,"1"
1462.0,547.0,1233.0,225.0,97.0,1517.0,103.0,32.0,"1",0.6735303265390765,0.3264696734609234,"1"
230.0,571.0,769.0,1233.0,97.0,97.0,57.0,28.0,"1",0.8705383003387952,0.12946169966120466,"1"
999.0,571.0,239.0,769.0,94.0,97.0,117.0,36.0,"1",0.8909890035622202,0.10901099643777966,"1"
1238.0,571.0,224.0,239.0,94.0,97.0,100.0,32.0,"1",0.883194833213962,0.11680516678603807,"1"
1462.0,571.0,193.0,224.0,94.0,97.0,102.0,37.0,"1",0.8764064043502352,0.12359359564976483,"1"
1655.0,571.0,134.0,193.0,94.0,97.0,123.0,36.0,"0",0.3038408706612396,0.6961591293387603,"0"
1789.0,571.0,137.0,134.0,94.0,97.0,122.0,37.0,"0",0.2078094147792923,0.7921905852207077,"0"
1926.0,571.0,102.0,137.0,94.0,97.0,90.0,35.0,"0",0.21224221815627192,0.7877577818437281,"0"
2028.0,571.0,76.0,102.0,94.0,97.0,63.0,29.0,"0",0.24562173564405712,0.7543782643559428,"0"
2104.0,571.0,55.0,76.0,94.0,97.0,42.0,29.0,"0",0.18576392955609355,0.8142360704439064,"0"
2159.0,571.0,2021.0,55.0,94.0,97.0,147.0,34.0,"0",0.09207350292141245,0.9079264970785875,"0"
139.0,591.0,159.0,2021.0,94.0,94.0,79.0,27.0,"1",0.6504894575548616,0.34951054244513824,"1"
298.0,591.0,161.0,159.0,25.0,94.0,138.0,36.0,"1",0.3087297234844072,0.6912702765155928,"0"
139.0,616.0,123.0,161.0,25.0,25.0,113.0,26.0,"1",0.043540822656312074,0.9564591773436879,"0"
262.0,616.0,767.0,123.0,121.0,25.0,84.0,27.0,"1",0.6958379794963109,0.3041620205036891,"1"
1029.0,616.0,236.0,767.0,121.0,25.0,87.0,33.0,"1",0.9018997529577127,0.09810024704228733,"1"
1265.0,616.0,224.0,236.0,121.0,25.0,75.0,34.0,"1",0.8902092622508612,0.10979073774913878,"1"
1489.0,616.0,165.0,224.0,121.0,25.0,75.0,29.0,"1",0.8903124287425928,0.10968757125740734,"1"
1654.0,616.0,38.0,165.0,121.0,25.0,30.0,29.0,"0",0.23957944794950115,0.760420552050499,"0"
1692.0,616.0,65.0,38.0,121.0,25.0,53.0,27.0,"0",0.1420807296652345,0.8579192703347656,"0"
1757.0,616.0,43.0,65.0,121.0,25.0,32.0,37.0,"0",0.08031201389943861,0.9196879861005615,"0"
1800.0,616.0,57.0,43.0,121.0,25.0,44.0,27.0,"0",0.14363861779940143,0.8563613822005987,"0"
1857.0,616.0,40.0,57.0,121.0,25.0,25.0,26.0,"0",0.17439485152289172,0.8256051484771083,"0"
1897.0,616.0,82.0,40.0,121.0,25.0,69.0,35.0,"0",0.0989294105276174,0.9010705894723826,"0"
1979.0,616.0,69.0,82.0,121.0,25.0,56.0,28.0,"0",0.1697739445746896,0.8302260554253105,"0"
2048.0,616.0,74.0,69.0,121.0,25.0,61.0,29.0,"0",0.14691429238078238,0.8530857076192176,"0"
2122.0,616.0,69.0,74.0,121.0,25.0,56.0,37.0,"0",0.09349739824827712,0.9065026017517228,"0"
2191.0,616.0,1942.0,69.0,121.0,25.0,41.0,29.0,"0",0.19872867172087727,0.8012713282791227,"0"
250.0,662.0,97.0,1942.0,121.0,121.0,86.0,29.0,"1",0.419921308640068,0.5800786913599321,"0"
347.0,662.0,160.0,97.0,114.0,121.0,148.0,28.0,"1",0.18639128576550515,0.8136087142344948,"0"
507.0,662.0,1149.0,160.0,114.0,121.0,70.0,28.0,"1",0.859887809666064,0.14011219033393582,"1"
1656.0,662.0,101.0,1149.0,114.0,121.0,88.0,34.0,"0",0.6168602450758144,0.3831397549241856,"1"
1757.0,662.0,101.0,101.0,114.0,121.0,90.0,28.0,"0",0.3225247719278893,0.6774752280721108,"0"
1858.0,662.0,62.0,101.0,114.0,121.0,52.0,23.0,"0",0.3690316699140654,0.6309683300859346,"0"
1920.0,662.0,35.0,62.0,114.0,121.0,28.0,29.0,"0",0.20854774487368666,0.7914522551263133,"0"
1955.0,662.0,148.0,35.0,114.0,121.0,137.0,34.0,"0",0.15831903215805493,0.841680967841945,"0"
2103.0,662.0,80.0,148.0,114.0,121.0,69.0,23.0,"0",0.42459106054616075,0.5754089394538393,"0"
2183.0,662.0,2046.0,80.0,114.0,121.0,134.0,35.0,"0",0.11406900034370054,0.8859309996562995,"0"
138.0,683.0,47.0,2046.0,114.0,114.0,100.0,26.0,"1",0.07019104226559397,0.9298089577344061,"0"
178.0,707.0,37.0,47.0,47.0,47.0,29.0,28.0,"1",0.02556154424168168,0.9744384557583182,"0"
215.0,707.0,157.0,37.0,62.0,47.0,146.0,35.0,"1",0.01715944293787991,0.98284055706212,"0"
372.0,707.0,657.0,157.0,62.0,47.0,92.0,35.0,"1",0.8290633794183906,0.17093662058160933,"1"
1029.0,707.0,234.0,657.0,62.0,47.0,87.0,31.0,"1",0.9058839795815962,0.09411602041840368,"1"
1263.0,707.0,225.0,234.0,62.0,47.0,76.0,35.0,"1",0.8957173658722745,0.10428263412772558,"1"
1488.0,707.0,166.0,225.0,62.0,47.0,76.0,34.0,"1",0.893604228994666,0.10639577100533394,"1"
1654.0,707.0,40.0,166.0,62.0,47.0,25.0,26.0,"0",0.36307677992923015,0.6369232200707698,"0"
1694.0,707.0,84.0,40.0,62.0,47.0,70.0,36.0,"0",0.12102495554996914,0.8789750444500309,"0"
1778.0,707.0,61.0,84.0,62.0,47.0,49.0,28.0,"0",0.2272425081939228,0.7727574918060771,"0"
1839.0,707.0,106.0,61.0,62.0,47.0,93.0,26.0,"0",0.21181579201374204,0.788184207986258,"0"
1945.0,707.0,109.0,106.0,62.0,47.0,97.0,27.0,"0",0.2614349851816648,0.7385650148183351,"0"
2054.0,707.0,52.0,109.0,62.0,47.0,41.0,23.0,"0",0.329988863045342,0.670011136954658,"0"
2106.0,707.0,125.0,52.0,62.0,47.0,113.0,35.0,"0",0.143454994248163,0.856545005751837,"0"
2231.0,707.0,2093.0,125.0,62.0,47.0,51.0,20.0,"0",0.2721733377577668,0.7278266622422332,"0"
139.0,754.0,166.0,2093.0,62.0,62.0,153.0,29.0,"1",0.32235092140275456,0.6776490785972455,"0"
305.0,754.0,81.0,166.0,1517.0,62.0,70.0,30.0,"1",0.09923469406041344,0.9007653059395865,"0"
386.0,754.0,38.0,81.0,1517.0,62.0,30.0,29.0,"1",0.04947752921231444,0.9505224707876855,"0"
424.0,754.0,156.0,38.0,1517.0,62.0,145.0,34.0,"1",0.03964350846646485,0.9603564915335352,"0"
580.0,754.0,848.0,156.0,1517.0,62.0,93.0,37.0,"1",0.4852300818644945,0.5147699181355054,"0"
1428.0,754.0,80.0,848.0,1517.0,62.0,11.0,35.0,"1",0.9114926499684408,0.08850735003155921,"1"
1508.0,754.0,147.0,80.0,1517.0,62.0,102.0,36.0,"1",0.4782397835463075,0.5217602164536925,"0"
1655.0,754.0,125.0,147.0,1517.0,62.0,114.0,36.0,"0",0.1450081936745717,0.8549918063254283,"0"
1780.0,754.0,156.0,125.0,1517.0,62.0,145.0,37.0,"0",0.14945079493093322,0.8505492050690668,"0"
1936.0,754.0,39.0,156.0,1517.0,62.0,26.0,23.0,"0",0.3506411966109534,0.6493588033890466,"0"
1975.0,754.0,146.0,39.0,1517.0,62.0,134.0,37.0,"0",0.0859717987778402,0.9140282012221598,"0"
2121.0,754.0,101.0,146.0,1517.0,62.0,87.0,28.0,"0",0.3150803612769117,0.6849196387230884,"0"
2222.0,754.0,569.0,101.0,1517.0,62.0,91.0,28.0,"0",0.5041407576534956,0.49585924234650447,"1"
1655.0,800.0,51.0,569.0,1517.0,1517.0,40.0,34.0,"0",0.4131261343882988,0.5868738656117012,"0"
1706.0,800.0,133.0,51.0,1517.0,1517.0,119.0,37.0,"0",0.06632205464708191,0.9336779453529181,"0"
1839.0,800.0,60.0,133.0,1517.0,1517.0,49.0,28.0,"0",0.08943599250108089,0.910564007498919,"0"
1899.0,800.0,32.0,60.0,1517.0,1517.0,20.0,27.0,"0",0.06888455363497213,0.9311154463650279,"0"
1931.0,800.0,85.0,32.0,1517.0,1517.0,73.0,36.0,"0",0.05615197650697224,0.9438480234930278,"0"
2016.0,800.0,146.0,85.0,1517.0,1517.0,135.0,29.0,"0",0.12088151524723696,0.8791184847527629,"0"
2162.0,800.0,42.0,146.0,1517.0,1517.0,31.0,36.0,"0",0.11851330670229727,0.8814866932977027,"0"
2204.0,800.0,56.0,42.0,1517.0,1517.0,44.0,27.0,"0",0.1336799234325471,0.866320076567453,"0"
2260.0,800.0,2122.0,56.0,1517.0,1517.0,59.0,20.0,"0",0.10514831229739507,0.8948516877026049,"0"
139.0,821.0,144.0,2122.0,1517.0,1517.0,132.0,35.0,"1",0.32109033199769194,0.678909668002308,"0"
283.0,821.0,209.0,144.0,1517.0,1517.0,198.0,29.0,"1",0.03617105223634978,0.9638289477636501,"0"
492.0,821.0,61.0,209.0,1517.0,1517.0,50.0,26.0,"1",0.0478259395020772,0.9521740604979229,"0"
553.0,821.0,427.0,61.0,1517.0,1517.0,113.0,27.0,"1",0.13054487648750465,0.8694551235124953,"0"
980.0,821.0,49.0,427.0,1517.0,1517.0,15.0,33.0,"1",0.5342129829230835,0.4657870170769165,"1"
1029.0,821.0,193.0,49.0,1517.0,1517.0,88.0,31.0,"1",0.13203848006298188,0.8679615199370181,"0"
1222.0,821.0,42.0,193.0,1517.0,1517.0,13.0,29.0,"1",0.3280111966551715,0.6719888033448286,"0"
1264.0,821.0,182.0,42.0,1517.0,1517.0,76.0,35.0,"1",0.17381581399458507,0.8261841860054149,"0"
1446.0,821.0,43.0,182.0,1517.0,1517.0,12.0,30.0,"1",0.33659176365469473,0.6634082363453052,"0"
1489.0,821.0,168.0,43.0,1517.0,1517.0,74.0,31.0,"1",0.2542230027008848,0.7457769972991153,"0"
1655.0,845.0,53.0,168.0,1517.0,1517.0,41.0,28.0,"0",0.11609698622142414,0.8839030137785758,"0"
1708.0,845.0,142.0,53.0,1518.0,1517.0,131.0,29.0,"0",0.0797325614100595,0.9202674385899405,"0"
1850.0,845.0,90.0,142.0,1518.0,1517.0,78.0,30.0,"0",0.10158177498859014,0.8984182250114099,"0"
1940.0,845.0,70.0,90.0,1518.0,1517.0,58.0,28.0,"0",0.08504563378615208,0.9149543662138478,"0"
2010.0,845.0,37.0,70.0,1518.0,1517.0,29.0,29.0,"0",0.05953250600619162,0.9404674939938084,"0"
2047.0,845.0,54.0,37.0,1518.0,1517.0,41.0,29.0,"0",0.08233120756489162,0.9176687924351083,"0"
2101.0,845.0,90.0,54.0,1518.0,1517.0,77.0,24.0,"0",0.1424600528671931,0.857539947132807,"0"
2191.0,845.0,2054.0,90.0,1518.0,1517.0,120.0,36.0,"0",0.10672394350853971,0.8932760564914602,"0"
138.0,876.0,146.0,2054.0,1518.0,1518.0,134.0,29.0,"1",0.31844973022343465,0.6815502697765654,"0"
284.0,876.0,144.0,146.0,39.0,1518.0,132.0,36.0,"1",0.2195452844686937,0.7804547155313063,"0"
428.0,876.0,210.0,144.0,39.0,1518.0,198.0,29.0,"1",0.43147525775521667,0.5685247422447832,"0"
638.0,876.0,61.0,210.0,39.0,1518.0,49.0,26.0,"1",0.39406740942449653,0.6059325905755034,"0"
699.0,876.0,955.0,61.0,39.0,1518.0,142.0,26.0,"1",0.5185857613264416,0.48141423867355837,"1"
1654.0,876.0,75.0,955.0,39.0,1518.0,62.0,28.0,"0",0.5854156036780573,0.4145843963219427,"1"
1729.0,876.0,194.0,75.0,39.0,1518.0,181.0,32.0,"0",0.22128238276186887,0.778717617238131,"0"
1923.0,876.0,119.0,194.0,39.0,1518.0,107.0,35.0,"0",0.35736461443986695,0.642635385560133,"0"
2042.0,876.0,107.0,119.0,39.0,1518.0,95.0,34.0,"0",0.20690211463737157,0.7930978853626284,"0"
2149.0,876.0,89.0,107.0,39.0,1518.0,78.0,28.0,"0",0.21173839795521468,0.7882616020447852,"0"
2238.0,876.0,2101.0,89.0,39.0,1518.0,84.0,26.0,"0",0.2802837323256164,0.7197162676743836,"0"
138.0,915.0,119.0,2101.0,39.0,39.0,105.0,34.0,"1",0.27514883376965926,0.7248511662303407,"0"
257.0,915.0,116.0,119.0,47.0,39.0,105.0,29.0,"1",0.1841331115985688,0.8158668884014312,"0"
373.0,915.0,38.0,116.0,47.0,39.0,29.0,29.0,"1",0.23267018731485406,0.7673298126851458,"0"
411.0,915.0,97.0,38.0,47.0,39.0,84.0,28.0,"1",0.13781323333285622,0.8621867666671437,"0"
508.0,915.0,38.0,97.0,47.0,39.0,29.0,28.0,"1",0.2618613602032421,0.738138639796758,"0"
546.0,915.0,80.0,38.0,47.0,39.0,67.0,28.0,"1",0.17510953242101274,0.8248904675789871,"0"
626.0,915.0,28.0,80.0,47.0,39.0,16.0,25.0,"1",0.3030073877891436,0.6969926122108564,"0"
654.0,915.0,476.0,28.0,47.0,39.0,117.0,20.0,"1",0.7588084217183635,0.24119157828163643,"1"
179.0,936.0,80.0,476.0,47.0,47.0,69.0,29.0,"1",0.17735958029484575,0.8226404197051543,"0"
259.0,936.0,224.0,80.0,253.0,47.0,160.0,37.0,"1",0.3300414532544105,0.6699585467455896,"0"
483.0,936.0,136.0,224.0,253.0,47.0,122.0,37.0,"1",0.29816863692060763,0.7018313630793924,"0"
619.0,936.0,412.0,136.0,253.0,47.0,175.0,36.0,"1",0.7199466064727984,0.28005339352720177,"1"
1031.0,936.0,624.0,412.0,253.0,47.0,86.0,33.0,"1",0.8937001018230478,0.10629989817695215,"1"
1655.0,936.0,116.0,624.0,253.0,47.0,104.0,32.0,"0",0.5438613800982142,0.4561386199017859,"1"
1771.0,936.0,64.0,116.0,253.0,47.0,50.0,20.0,"0",0.42209970326876445,0.5779002967312356,"0"
1835.0,936.0,88.0,64.0,253.0,47.0,75.0,34.0,"0",0.171795633430784,0.8282043665692159,"0"
1923.0,936.0,107.0,88.0,253.0,47.0,95.0,28.0,"0",0.22095974165922996,0.7790402583407701,"0"
2030.0,936.0,40.0,107.0,253.0,47.0,25.0,25.0,"0",0.3607333906438309,0.6392666093561691,"0"
2070.0,936.0,76.0,40.0,253.0,47.0,62.0,31.0,"0",0.1673353058503114,0.8326646941496886,"0"
2146.0,936.0,64.0,76.0,253.0,47.0,49.0,28.0,"0",0.2275780682177988,0.7724219317822012,"0"
2210.0,936.0,1780.0,64.0,253.0,47.0,70.0,33.0,"0",0.2732395799636747,0.7267604200363252,"0"
431.0,956.0,834.0,1780.0,253.0,253.0,40.0,35.0,"1",0.8430132618213353,0.15698673817866465,"1"
1265.0,956.0,226.0,834.0,293.0,253.0,73.0,32.0,"1",0.9023956118180365,0.09760438818196349,"1"
1491.0,956.0,1352.0,226.0,293.0,253.0,73.0,31.0,"1",0.7968384379750866,0.20316156202491337,"1"
140.0,981.0,76.0,1352.0,293.0,293.0,64.0,28.0,"1",0.26265386514319883,0.7373461348568011,"0"
